LFI_001	بسم الله الرحمن الرحيم بيان ليبيات من أجل السلام
LFI_002	نحن نساء ليبيات داعمات للسلام والحوار والسلم الاجتماعي من أجل بناء دولة ليبيا الديمقراطية
LFI_003	ننتهز هذه الفرصة التاريخية للحوار الوطني الليبي
LFI_004	لتوجيه أنظار الليبيات والليبيين والعالم أجمع إلى الحوار باعتباره الملاذ الأخير للخروج بالوطن من الأزمة والوصول بليبيا إلى السلام
LFI_005	واستشعارا منا بالخطر الذي يهدد وحدة البلاد وأمن مواطنيها وإهدار ثرواتها
LFI_006	وإيمانا منا بالدور الذي لعبته النساء الليبيات في ثورة سبعة عشر فبراير وإرساء مبادئها
LFI_007	وتأكيدا على ان النزاع المسلح كان له اكبر الأثر على النساء تشريدا ونزوحا وتهجيرا وعنفا
LFI_008	وانطلاقا من مبدأ المواطنة وشراكة النساء في بلورة مسيرة السلام وبناء دولة ليبيا الديمقراطية دولة المؤسسات والقانون واحترام حقوق الإنسان
LFI_009	عليه من هذه المنطلقات نطالب بالآتي أولا وقف إطلاق النار والدفع بالحوار السلمي وعملية السلام وتحسين الوضع الإنساني
LFI_010	ثانيا مناشدة الأطراف المختلفة على احترام قواعد القانون الدولي الإنساني لتخفيف المعاناة وحماية ضحايا النزاعات المسلحة وخاصة النساء والأطفال
LFI_011	ثالثا المساهمة في صنع استراتيجية لتفعيل تدابير الثقة التي توصلت إليها الجولة الأولى للحوار
LFI_012	ووضع الآليات اللازمة والبرامج التنفيذية على كافة المستويات
LFI_013	رابعا التزام الأطراف المشاركة بإشراك المرأة في الحوار لحل النزاع وإعادة البناء في الفترة الانتقالية وبعدها
LFI_014	وتفعيل قرارات مجلس الأمن ثلاثة عشر خمسة وعشرين ثمانية عشر عشرين ثمانية عشر ثمانية وثمانين ثمانية عشر تسعة وثمانين تسعة عشر تسعين أثنا عشر صفر ستة واحد وعشرين أثنين وعشرين
LFI_015	والقاضية بتمثيل النساء في جميع مستويات صنع القرار وإدارة وحل النزاعات وحمايتهن
LFI_016	وتمكين وتأهيل ناشطات المجتمع المدني من مهارات التفاوض وبناء السلام وتنفيذ جميع تدابير بناء الثقة المتفق عليها
LFI_017	خامسا تسريع عودة جميع المهجرات والمهاجرين في الخارج والنازحات والنازحين في الداخل
LFI_018	وفك أسر المعتقلات والمعتقلين بشكل غير شرعي واعتماد التدابير اللازمة لضمان ذلك
LFI_019	سادسا إصدار القوانين واتخاذ التدابير اللازمة لبدء عمليات العدالة الانتقالية
LFI_020	لتعزيز المصالحة وإحلال السلم الاجتماعي والحفاظ عليه مع ضمان المشاركة الكاملة للنساء
LFI_021	سابعا توظيف الخطاب الإعلامي والديني المعتدل لضمان مشاركة النساء وعدم تفويض جهود المصالحة
LFI_022	ولترسيخ قيم التسامح والوحدة الوطنية ونبذ الفرقة وتعزيز جهود القضاء على العنف ضد المرأة ودورها في احلال السلام وإشراكها في الحوار
LFI_023	ثامنا حشد الجامعة العربية لكافة جهود أعضائها اللازمة والفعالة لدعم الحوار الوطني الليبي ولضمان مشاركة النساء الليبيات في كل مراحل الحوار
LFI_024	وبناء الدولة وإحلال السلام وتعزيز قدرتهن وجهودهن في دعم ونشر ثقافة الحوار والعدالة الانتقالية والمصالحة
LFI_025	تاسعا مطالبة مجلس السلام والأمن في في الاتحاد الأفريقي بمساندة إعادة بناء وتأسيس السلام في ليبيا ودعم الحوار
LFI_026	عاشرا مطالبة اتحاد المغرب العربي في دعم الحوار والسلام في ليبيا بناء على أهم مبادئه دعم السلام في دول المغرب العربي
LFI_027	صدر هذا البيان في الجمهورية التونسية بتاريخ عشرين يناير ألفين وخمسة عشر
